	Histologic_origin	AVE_Ubi	Ubi_level	ATG10	ATG7	CDC20	CUL1	DDB2	ELOB	GTF3C1	HERC6	ITCH	MDM2	PPP2R2C	REN	RNF43	SPOP	TAF3	UBA7	UBE2C	UBE2T	VHL	WDR76
GSM5556237	Lung	106.313594	low	107.88482	85.33069	75.60635	97.52696	87.83185	148.96942	87.59075	72.88817	88.39826	86.37901	208.35381	157.49836	112.96749	92.16162	104.04833	128.19808	128.5659	82.58048	91.09716	82.39437
GSM5556134	Lung	106.53304	high	84.16451	87.22887	83.1874	110.75014	94.93257	131.14888	88.49821	132.52292	95.85632	121.94645	138.19831	117.62602	96.7942	92.789	94.56128	135.03104	153.70886	88.09814	95.49628	88.1214
GSM5556141	Lung	106.9243115	high	97.07408	99.06743	80.70257	116.65599	93.05992	132.13782	106.72428	137.66081	94.97603	115.93224	122.26806	112.67553	111.75897	107.24552	90.55185	120.22913	153.94525	77.77143	84.14983	83.89949
GSM5556130	Lung	107.1934915	high	106.42152	92.5107	78.13894	124.67344	92.48825	144.20781	115.08313	117.43027	111.30521	98.18422	131.77703	118.63642	96.97316	102.42048	109.46534	120.12621	109.82976	96.53284	91.98624	85.67886
GSM5556131	Lung	107.929117	high	91.67835	89.94351	79.27412	116.14804	100.28512	127.41811	103.95307	138.51054	100.34037	136.47508	116.42572	104.32915	91.16667	91.69732	80.15249	132.63578	151.5613	126.93552	89.6498	90.00228
GSM5556140	Lung	108.0139865	high	88.33567	89.31105	93.42129	107.44694	104.6893	148.5365	97.42388	98.26727	98.30671	120.4487	135.27309	118.48368	102.18815	108.08262	89.10358	130.80823	157.69064	97.88552	91.08254	83.49437
GSM5556182	Lung	124.2201	high	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201	124.2201
GSM5556194	Lymph node	98.0805155	low	71.1456	77.40077	81.85516	109.00253	89.76918	137.15928	74.81558	55.64043	93.29608	126.91048	142.05455	119.75551	74.36779	102.36866	88.11839	140.794	124.88353	71.48108	96.62425	84.16746
GSM5556199	Lymph node	100.254876	low	74.85569	85.96634	78.48709	115.38647	91.44503	139.71387	76.89928	59.28675	97.37413	147.85684	142.87385	128.66283	80.6357	107.31368	82.01575	126.05776	129.40128	69.36146	91.58105	79.92267
GSM5556193	Lymph node	100.7101245	low	77.46557	87.28554	80.58177	116.27229	96.01865	137.34221	75.98118	61.46518	92.0588	127.2452	154.3192	124.24495	80.52377	109.68997	84.87822	133.96857	116.37985	74.49149	102.36009	81.62999
GSM5556196	Lymph node	101.6761935	low	78.29711	82.40587	73.64691	121.06885	92.09247	132.67796	78.53508	59.94425	102.51549	144.50168	145.04769	136.60972	82.04113	111.72227	87.4681	126.53045	122.17165	72.46506	101.43855	82.34358
GSM5556195	Lymph node	101.829583	low	86.06608	76.72913	74.21677	110.58938	87.30416	145.54541	90.61724	76.95466	116.17116	120.86024	148.73025	122.63575	85.71103	111.40282	94.86288	112.52979	120.38088	77.19276	99.16361	78.92766
GSM5556192	Lymph node	102.006063	low	75.52827	79.4738	81.9188	115.88719	91.5702	145.41155	75.84281	55.3749	99.74602	155.6813	147.78855	131.06366	79.95723	110.13098	89.73354	128.99786	132.53621	69.17808	94.35	79.95031
GSM5556198	Lymph node	102.4788495	low	77.80974	80.40624	75.883	111.28371	95.76469	140.72256	75.16281	56.30273	99.77578	141.95914	142.37331	164.26222	78.58277	111.40028	89.52919	129.01646	125.06539	75.90457	98.26436	80.10804
